FileName,Rec_1,Rec_2,Rec_3,RunTimeSeconds
cicids_0_test.csv,PCA,MCD,LOF,22.254184007644653
cicids_1_test.csv,MCD,IForest,LOF,22.046524047851562
cicids_2_test.csv,OmniAnomaly,MCD,ALLM4TS,17.841120958328247
cicids_3_test.csv,MCD,CNN,LOF,19.41465711593628
cicids_5_test.csv,PCA,MCD,ALLM4TS,18.414665937423706
cicids_6_test.csv,MCD,CNN,ALLM4TS,18.4983069896698
cicids_7_test.csv,OmniAnomaly,PCA,MCD,18.88567590713501
creditcard_test.csv,IForest,KMeansAD,ALLM4TS,11.381610870361328
Daphnet_S01R01E1_test.csv,PCA,MCD,ALLM4TS,2.455488920211792
Daphnet_S02R01E0_test.csv,OmniAnomaly,PCA,MCD,1.897298812866211
Daphnet_S02R02E0_test.csv,OmniAnomaly,PCA,MCD,2.317919969558716
Daphnet_S03R01E0_test.csv,OmniAnomaly,PCA,KMeansAD,2.3976190090179443
Daphnet_S03R01E1_test.csv,PCA,KMeansAD,ALLM4TS,2.423065185546875
Daphnet_S03R02E0_test.csv,OmniAnomaly,PCA,KMeansAD,0.8857870101928711
Daphnet_S05R01E0_test.csv,PCA,KMeansAD,ALLM4TS,1.1831309795379639
Daphnet_S05R01E1_test.csv,CNN,KMeansAD,LOF,0.7758879661560059
Daphnet_S05R01E2_test.csv,PCA,KMeansAD,ALLM4TS,0.7529280185699463
Daphnet_S05R01E3_test.csv,OmniAnomaly,PCA,KMeansAD,0.42719292640686035
Daphnet_S05R02E0_test.csv,OmniAnomaly,PCA,KMeansAD,2.3490779399871826
Daphnet_S05R02E1_test.csv,OmniAnomaly,PCA,KMeansAD,2.1906168460845947
Daphnet_S06R01E0_test.csv,PCA,KMeansAD,ALLM4TS,2.7091991901397705
Daphnet_S06R01E1_test.csv,OmniAnomaly,PCA,KMeansAD,2.3607470989227295
Daphnet_S06R01E2_test.csv,OmniAnomaly,PCA,KMeansAD,2.130812168121338
Daphnet_S07R01E0_test.csv,OmniAnomaly,PCA,KMeansAD,2.728611946105957
Daphnet_S07R02E0_test.csv,PCA,MCD,ALLM4TS,2.587876081466675
Daphnet_S08R01E0_test.csv,PCA,KMeansAD,ALLM4TS,0.8544960021972656
Daphnet_S08R01E1_test.csv,PCA,KMeansAD,ALLM4TS,0.537775993347168
Daphnet_S08R01E2_test.csv,PCA,KMeansAD,ALLM4TS,0.8225069046020508
Daphnet_S08R01E3_test.csv,PCA,KMeansAD,ALLM4TS,0.6054198741912842
Daphnet_S09R01E0_test.csv,OmniAnomaly,PCA,MCD,0.4213531017303467
Daphnet_S09R01E1_test.csv,OmniAnomaly,PCA,KMeansAD,0.681419849395752
Daphnet_S09R01E2_test.csv,OmniAnomaly,PCA,KMeansAD,2.3636841773986816
Daphnet_S09R01E3_test.csv,OmniAnomaly,PCA,KMeansAD,2.4017908573150635
Daphnet_S09R01E4_test.csv,PCA,MCD,ALLM4TS,0.4141840934753418
Exathlon_1_2_100000_68_test.csv,MCD,OmniAnomaly,PCA,0.2506980895996094
Exathlon_1_4_1000000_80_test.csv,MCD,OmniAnomaly,OFA,4.235543966293335
Exathlon_1_5_1000000_86_test.csv,OmniAnomaly,PCA,MCD,0.2781260013580322
Exathlon_10_2_1000000_67_test.csv,MCD,OFA,OmniAnomaly,1.3666479587554932
Exathlon_10_3_1000000_75_test.csv,MCD,OmniAnomaly,PCA,5.208999872207642
Exathlon_10_4_1000000_79_test.csv,KMeansAD,AutoEncoder,ALLM4TS,4.165959119796753
Exathlon_2_1_100000_60_test.csv,OmniAnomaly,MCD,PCA,5.031554937362671
Exathlon_2_2_200000_69_test.csv,OmniAnomaly,PCA,KMeansAD,0.2387070655822754
Exathlon_2_5_1000000_87_test.csv,OmniAnomaly,PCA,MCD,5.943916082382202
Exathlon_2_5_1000000_88_test.csv,MCD,OmniAnomaly,PCA,0.299746036529541
Exathlon_3_2_1000000_71_test.csv,OmniAnomaly,PCA,MCD,0.18399620056152344
Exathlon_3_2_500000_70_test.csv,OmniAnomaly,PCA,MCD,0.2418498992919922
Exathlon_3_4_1000000_81_test.csv,PCA,KMeansAD,ALLM4TS,0.3158271312713623
